text;id;referierte_Figur
haben den Bedforder oder den Devonshire-Herzog als Rückendeckung;427176;Herzog von Bedford
haben den Bedforder oder den Devonshire-Herzog als Rückendeckung;427176;Herzog von Devonshire
Ja, gnäd'ger Herr, wie is das nu mit Agnessen? Sie is immer noch bei Mamsell Pritzbur unten, un die Mächens, wenn sie so singt und tanzt, kucken ihr zu. Sie wird woll auch so was wie die Karline. Soll sie wieder nach Haus, oder soll sie hierbleiben?;721652;Agnes
Ich bin überzeugt, mein Papa steht schon ungeduldig auf seiner Rampe, und wenn er uns so im Schritt ankommen sieht, denkt er, wir bringen eine Trauernachricht oder einen Verwundeten.;23872;Dubslav
Baruch hat ihn auch gesehn und ihn einigermaßen verändert gefunden... ;651948;Baruch
Dies elende Nest! Wir bringen ihn wahr und wahrhaftig nicht durch, unsern guten alten Stechlin.;380532;Dubslav
Ihrem Papa gerade Confessions in einer so delikaten Sache zu machen?;145148;Dubslav
Ihrem Papa gerade Confessions in einer so delikaten Sache zu machen?;145148;E. Katzler
Unser Fix sagt mitunter, ich sei zu exklusiv, aber so exklusiv bin ich doch noch lange nicht. ;195214;Fix
Mein Mann hat seine Politik und möchte sich wählen lassen, aber es wird nichts, und wenn ich die Journale bringe, nicht mal die Bilder sieht er sich an. Und die Geschichten, sagt er, seien bloß dummes Zeug und bloß Wasser auf die Mühlen der Sozialdemokratie. Seine Mühlen, was ich übrigens recht und billig finde, sind ihm lieber.;56596;Herr Gundermann
"Mehr; ich bin voll Bewunderung. Greeley, statt zu tun, was er tat, hätte zu den Gefährten sagen können: ›Unser Exempel wird falsch, und wir gehen an des einen Schuld zugrunde; töten mag ich ihn nicht – sterben wir also alle.‹ Für seine Person hätt er so sprechen und handeln können. Aber es handelte sich nicht bloß um ihn; er hatte die Führer- und die Befehlshaberrolle, zugleich die Richterpflicht, und hatte die Majorität von drei gegen eine Minorität von einem zu schützen. Was dieser eine getan, an und für sich ein Nichts, war unter den Umständen, unter denen es geschah, ein fluchwürdiges Verbrechen. Und so nahm er denn gegen die geschehene schwere Tat die schwere Gegentat auf sich. In solchem Augenblicke richtig fühlen und in der Überzeugung des Richtigen fest und unbeirrt ein furchtbares Etwas tun, ein Etwas, das, aus seinem Zusammenhange gerissen, allem göttlichen Gebot, allem Gesetz und aller Ehre widerspricht,
das
imponiert mir ganz ungeheuer und ist in meinen Augen der wirkliche, der wahre Mut.";697960;Leutnant Greeley
Ich glaub es nicht;621746;Friedrich II.
st die Comtesse krank?;249094;Armgard
Die Frau zieht ebensogut die Tür auf wie er, und weiter is es ja nichts.;274874;Frau Hartwig
Weil Ihr Herr Papa kandidieren will. Und da muß ich zurückstehen. Ich bin hier ein Neuling. Und die Stechlins waren hier schon...;66727;Dubslav
"Nun denn – ich erzähle nach dem Gedächtnis, und im einzelnen und Nebensächlichen irr ich vielleicht... Aber in der Hauptsache stimmt es... Also zuletzt, nach langer Irrfahrt, waren's noch ihrer fünf: Greeley selbst und vier seiner Leute. Das Schiff hatten sie verlassen, und so zogen sie hin über Eis und Schnee. Sie wußten den Weg, soweit sich da von Weg sprechen läßt, und die Sorge war nur, ob das bißchen Proviant, das sie mit sich führten, Schiffszwieback und gesalzenes Fleisch, bis an die nächste menschenbewohnte Stelle reichen würde. Jedem war ein höchstes und doch zugleich auch wieder geringstes Maß als tägliche Provision zubewilligt, und wenn man dies Maß einhielt und kein Zwischenfall kam, so mußt es reichen. Und einer, der noch am meisten bei Kräften war, schleppte den gesamten Proviant. Das ging so durch Tage. Da nahm Leutnant Greeley wahr, daß der Proviant schneller hinschmolz, als berechnet, und nahm auch wahr, daß der Proviantträger selbst, wenn er sich nicht beobachtet glaubte, von den Rationen nahm. Das war eine schreckliche Wahrnehmung. Denn ging es so fort, so waren sie samt und sonders verloren. Da nahm Greeley die drei andern beiseit und beriet mit ihnen. Eine Möglichkeit gewöhnlicher Bestrafung gab es nicht, und auf einen Kampf sich einzulassen ging auch nicht. Sie hatten dazu die Kräfte nicht mehr. Und so hieß es denn zuletzt, und es war Greeley, der es sagte: ›Wir müssen ihn hinterrücks erschießen.‹ Und als sie bald nach dieser Kriegsgerichtsszene wieder aufbrachen, der heimlich Verurteilte vorn an der Tête, trat Greeley von hinten her an ihn heran und schoß ihn nieder. Und die Tat war nicht umsonst getan; ihre Rationen reichten aus, und an dem Tage, wo sie den letzten Bissen verzehrten, kamen sie bis an eine Station";695869;Leutnant Greeley
 Aber er is doch noch lange nich so klug, wie ihr dumm seid.;407055;Torgelow
"Zahlreiche Personen traten in der Verhandlung auf, und als Sachverständige wurden zuletzt auch Konkurrentinnen auf diesem Spezialgebiete der ›plastischen Kunst‹ vernommen. Alle fanden die Forderung erheblich zu hoch, und der Sieg schien sich rasch der Herzogin zuneigen zu wollen. Aber in eben diesem Augenblicke trat die sich arg bedrängt sehende Künstlerin an den Vorsitzenden des Gerichtshofes heran und bat ihn, an die erschienenen Fachgenossinnen einfach die Frage nach der Dauer der durch ihre Kunst wiederhergestellten Jugend und Schönheit richten zu wollen, eine Bitte, der der Oberrichter auch so fort nachkam. Was darauf geantwortet wurde, lautete hinsichtlich der Dauer sehr verschieden. Als aber, trotz der Verschiedenheit dieser Angaben, keine der Konkurrentinnen mehr als ein Vierteljahr zu garantieren wagte, wandte sich die Verklagte ruhig an den hohen Gerichtshof und sagte nicht ohne Würde: ›Meine Herren Richter, meine Mitkünstlerinnen, wie Sie soeben vernommen, helfen auf
Zeit
; was
ich
leiste, ist ""beautifying for ever";519961;Herzogin in London
"Zahlreiche Personen traten in der Verhandlung auf, und als Sachverständige wurden zuletzt auch Konkurrentinnen auf diesem Spezialgebiete der ›plastischen Kunst‹ vernommen. Alle fanden die Forderung erheblich zu hoch, und der Sieg schien sich rasch der Herzogin zuneigen zu wollen. Aber in eben diesem Augenblicke trat die sich arg bedrängt sehende Künstlerin an den Vorsitzenden des Gerichtshofes heran und bat ihn, an die erschienenen Fachgenossinnen einfach die Frage nach der Dauer der durch ihre Kunst wiederhergestellten Jugend und Schönheit richten zu wollen, eine Bitte, der der Oberrichter auch so fort nachkam. Was darauf geantwortet wurde, lautete hinsichtlich der Dauer sehr verschieden. Als aber, trotz der Verschiedenheit dieser Angaben, keine der Konkurrentinnen mehr als ein Vierteljahr zu garantieren wagte, wandte sich die Verklagte ruhig an den hohen Gerichtshof und sagte nicht ohne Würde: ›Meine Herren Richter, meine Mitkünstlerinnen, wie Sie soeben vernommen, helfen auf
Zeit
; was
ich
leiste, ist ""beautifying for ever";519961;plastische Künstlerin
Katzler;664831;W. Katzler
hat mir von Ihrem Unwohlsein erzählt und mir Empfehlungen aufgetragen. ;664967;W. Katzler
Ja, so was muß man unter Umständen mit in den Kauf nehmen.;655541;Dr. Moscheles
"Sage Martin, daß er nach Gransee fährt und Doktor Sponholz mitbringt. Und wenn Sponholz nicht da ist – der arme Kerl kutschiert in einem fort rum; ohne Landpraxis geht es nicht –, dann soll er warten, bis er kommt.";632352;Dr. Sponholz
"Sage Martin, daß er nach Gransee fährt und Doktor Sponholz mitbringt. Und wenn Sponholz nicht da ist – der arme Kerl kutschiert in einem fort rum; ohne Landpraxis geht es nicht –, dann soll er warten, bis er kommt.";632352;Martin
Ich habe nichts dagegen, daß jemand Briefbeschwerer heißt, und überlaß es ihm, ob er ein Strich oder ein Kugelmann sein will.;578348;Briefbeschwerer
Sie is immer noch bei Mamsell Pritzbur unten, un die Mächens, wenn sie so singt und tanzt, kucken ihr zu.;721699;Mamsell Pritzbur
Essex, Sir Walter Raleigh, Thomas Morus und zuletzt noch jene Clanhäuptlinge, die für Prince Charlie gefochten hatten und deren Köpfe, wenige Tage später, von Temple Bar herab, auf die City niedersahen.;443067;Essex
Essex, Sir Walter Raleigh, Thomas Morus und zuletzt noch jene Clanhäuptlinge, die für Prince Charlie gefochten hatten und deren Köpfe, wenige Tage später, von Temple Bar herab, auf die City niedersahen.;443067;Prince Charlie
Essex, Sir Walter Raleigh, Thomas Morus und zuletzt noch jene Clanhäuptlinge, die für Prince Charlie gefochten hatten und deren Köpfe, wenige Tage später, von Temple Bar herab, auf die City niedersahen.;443067;Sir Walter Raleigh
Essex, Sir Walter Raleigh, Thomas Morus und zuletzt noch jene Clanhäuptlinge, die für Prince Charlie gefochten hatten und deren Köpfe, wenige Tage später, von Temple Bar herab, auf die City niedersahen.;443067;Thomas Morus
Und Mary war gerade bei mir. Und in dem Augenblicke, wo ich mich mit dem hübschen Kinde zu verständigen suche...;423958;Mary
Der französische Millet ist eine Null, ein Zwerg, neben dem der englische vergleichsweise zum Riesen anwächst, wohlverstanden vergleichsweise.;479479;Millet
Denn auch die ältere, wiewohl schon über dreißig, ist sehr reizend und zum Überfluß auch noch Witwe – das heißt eigentlich nicht Witwe, sondern richtiger eine gleich nach der Ehe geschiedene Frau. Sie war nur ein halbes Jahr verheiratet oder vielleicht auch nicht verheiratet.;207697;Melusine
Den Wrschowitz und den alten Malerprofessor, der von dem Engel des Gerichts nicht loskonnte – nun die beiden schenk ich Ihnen (ich denke mir, der Maler wird wohl nach Ihrem Geschmacke sein);414598;Cujacius
Den Wrschowitz und den alten Malerprofessor, der von dem Engel des Gerichts nicht loskonnte – nun die beiden schenk ich Ihnen (ich denke mir, der Maler wird wohl nach Ihrem Geschmacke sein);414598;Wrschowitz
solchen famosen Alten ;29145;Dubslav
und was ich von Engelke höre, das weiß ich auch. ;691380;Engelke
Da gibt es denn doch ganz andre, zum Beispiel unser guter Baron. Und die Baronin sieht auch immer weg, wenn er anfängt.;257391;Baron Berchtesgaden
Da gibt es denn doch ganz andre, zum Beispiel unser guter Baron. Und die Baronin sieht auch immer weg, wenn er anfängt.;257391;Baronin Berchtesgaden
Un Agnes, de sall denn unnen in de Küch goahn, to Mamsell Pritzbur, un de Pritzburn, de sall denn den Tee moaken för 'n jnäd'gen Herrn.;681573;Mamsell Pritzbur
Mit Engelke ging das nicht mehr, wenigstens nicht auf die Dauer. Er ist ja so alt wie ich. Und immer raus in der Nacht und rauf und runter und mich umdrehn und heben. Das konnt ich nich mehr mit ansehn.;713398;Engelke
Schade, daß Krippenstapel nicht da ist. Oder Tucheband.;151497;Krippenstapel
Schade, daß Krippenstapel nicht da ist. Oder Tucheband.;151497;Tucheband
Stimmt, stimmt;381920;Prinz August
"So war der Alte. Der reine Deubelskerl. Aber schneidig. Und ein richtiger Prinz. Und dann, meine Herren – ja, du mein Gott, wenn man nu mal Prinz is, irgendwas muß man doch von der Sache haben... Und soviel weiß ich, wenn
ich
Prinz wäre...";381952;Prinz August
Dann kam Blücher – der war einfach ein ›Jeuer‹. ;430237;Blücher
Und, wie gesagt, die Agnes bleibt. Ich sehe so gern was Zierliches. Es is ein reizendes Kind.;723151;Agnes
Gewiß nicht. Daran hindern ihn seine Moralitäten.;425071;Woldemar
Bismarcken is es auch mal so gegangen, noch dazu mit 'ner reichen Amerikanerin, und hat auch gleich (das heißt eigentlich lange nachher) das rechte Wort dafür gefunden.;372870;Bismarck
Bin neugierig, was der Lorenzen heute loslassen wird. Er gehört ja zur Richtung Göhre.;763212;Paul Göhre
Bei Tische hab ich die Damen leben lassen und Frau von Gundermann im speziellen. Hören Sie, Hauptmann, Sie verstehen's. Diese Rattengeschichte...;73123;Frau Gundermann
Sie hat eben den liebenswürdigsten und besten Mann, und ich könnt ihn ihr beinah beneiden, trotzdem ich noch im Abschiedsmoment einen wahren Schreck kriegte, als ich ihn sagen hörte, daß er morgen vormittag mit ihr vor die Sixtinische Madonna treten wolle. Worte, bei denen er noch dazu wie verklärt aussah. Und das find ich einfach unerhört. Warum, werden Sie mich vielleicht fragen. Nun denn, weil es erstens eine Beleidigung ist, sich auf eine Madonna so extrem zu freuen, wenn man eine Braut oder gar eine junge Frau zur Seite hat, und zweitens, weil dieser geplante Galeriebesuch einen Mangel an Disposition und Ökonomie bedeutet, der mich für Woldemars ganze Zukunft besorgt machen kann. Diese Zukunft liegt doch am Ende nach der agrarischen Seite hin, und richtige ›Dispositionen‹ bedeuten in der Landwirtschaft so gut wie alles.;626803;Woldemar
Und nun sehen Sie sich den Katzler an. Beinah sechs Fuß und rotblond und das Eiserne Kreuz.;147370;W. Katzler
Rex war erst gestern auf eine kurze Visite hier, etwas steif und formell wie gewöhnlich;473628;Rex
"er steht so, wie die meisten stehn; das heißt, er weiß es nicht recht.";35154;Rex
Und gestern abend, als Lorenzen hier war;699857;Lorenzen
Wohl möglich, daß es der gewesen ist. Ja, sogar sehr wahrscheinlich.;648941;Böcklin
Erst der große König;62694;Friedrich II.
Gut. Und dann vielleicht Oberförsters. Das älteste Kind hat freilich die Masern, und die Frau, das heißt die Gemahlin (und Gemahlin is eigentlich auch noch nicht das rechte Wort), die erwartet wieder. Man weiß nie recht, wie man mit ihr dran ist und wie man sie nennen soll, Oberförsterin Katzler oder Durchlaucht.;19549;E. Katzler
Gut. Und dann vielleicht Oberförsters. Das älteste Kind hat freilich die Masern, und die Frau, das heißt die Gemahlin (und Gemahlin is eigentlich auch noch nicht das rechte Wort), die erwartet wieder. Man weiß nie recht, wie man mit ihr dran ist und wie man sie nennen soll, Oberförsterin Katzler oder Durchlaucht.;19549;W. Katzler
"Du sagst das so, Adelheid, als ob du's tadeln wolltest, überhaupt, als ob dir die Damen nicht sonderlich gefallen hätten. Das sollte mir leid tun. Ich bin sehr glücklich über die Partie. Gewiß, sowohl die Gräfin wie die Comtesse sind verwöhnt; das merkt man. Aber ich möchte sagen, je verwöhnter sie sind...";574754;Armgard
"Du sagst das so, Adelheid, als ob du's tadeln wolltest, überhaupt, als ob dir die Damen nicht sonderlich gefallen hätten. Das sollte mir leid tun. Ich bin sehr glücklich über die Partie. Gewiß, sowohl die Gräfin wie die Comtesse sind verwöhnt; das merkt man. Aber ich möchte sagen, je verwöhnter sie sind...";574754;Melusine
Welche liebenswürdige Schwester Sie haben.;493233;Melusine
Wenn ich da so an unsern Kaiser Nikolaus zurückdenke und an die Zeit, wo seine Uniform als Geschenk bei uns eintraf und dann als Kirchenstück in die Garnisonkirche kam.;452745;Nikolaus I.
und zu den drei Stücken haben wir nu jetzt auch noch die Nikolaus-Uniform.;453221;Nikolaus I.
"Ich fürchtete schon, daß Lorenzen Sie nicht herausgeben würde. Seine Gelegenheiten, hier in Stechlin ein Gespräch zu führen, sind nicht groß, und nun gar ein Gespräch mit Gräfin Melusine! Nun, er hat es gnädig gemacht. Jetzt aber, Gräfin, halten Sie gefälligst Umschau; vielleicht daß Lorenzen schon geplaudert";560870;Lorenzen
Ja, Papa. Altere Schwester. Wohl um zehn Jahr älter und auch nur Halbschwester. Und eine Domina.;582050;Adelheid
Natürlich paßt Armgard besser, weil sie jung ist: es ist so mehr das richtige Verhältnis, und überhaupt, Armgard ist sozusagen dran. Aber, weiß der Teufel, Melusine...;223653;Armgard
Natürlich paßt Armgard besser, weil sie jung ist: es ist so mehr das richtige Verhältnis, und überhaupt, Armgard ist sozusagen dran. Aber, weiß der Teufel, Melusine...;223653;Melusine
"Mich persönlich haben diese Worte während schwerer Tage gestützt und aufgerichtet. Ich weiß, er hat Feinde, voran im eignen Lager. Und diese Feinde sprechen von ›schönen Worten‹. Aber soll ich mich einem Heilswort verschließen, weil es sich in Schönheit kleidet? Soll ich eine mich segnende Hand zurückweisen, weil es eine weiche Hand ist? Sie haben Sponholz genannt. Unser Superintendent liegt wohl weit über diesen hinaus, und wenn es nicht eitel und vermessen wäre, würd ich eine gnäd'ge Fügung darin zu sehn glauben, daß er an diese sterile Küste verschlagen werden mußte, gerade mir eine Hilfe zu sein. Aber, was er an mir tat, kann er auch an andern tun. Er hat eben das, was zum Siege führt; wer die Seele hat, hat auch den Leib.";669589;Koseleger
Wonach Cujacius günstigstenfalls der zweite wäre;484790;Cujacius
Wie steht es eigentlich mit ihm? Ich habe nie von ihm gehört, was aber nicht viel besagen will, namentlich nachdem ich Millais und Millet glücklich verwechselt habe. Nun geht alles so in einem hin. Ist er ein Mann, den ich eigentlich kennen müßte?;484859;Cujacius
um mit verlegenem Gesicht zu melden, daß das gnäd'ge Fräulein da sei.;701199;Adelheid
Wenn nicht unser Freund Woldemar bei diesem Arrangement seine Hand mit im Spiele gehabt hat, so haben wir hier in bezug auf Requisiten ein Ahnungsvermögen, wie's nicht größer gedacht werden kann.;27954;Woldemar
Und ich muß nachträglich die Bedenken Ihres Herrn Bruders als irrtümlich anerkennen. Aber wenn ich mich so ausdrücken darf, ein kleidsamer Irrtum... Auf das Wohl Ihres Herrn Bruders!;181049;Dubslav
das war ja Krippenstapel. Und hier draußen, so weit ab von seiner Schule. Wenn er nicht die Seehundsfellmütze gehabt hätte, die wie aus einer konfiszierten Schulmappe geschnitten aussah, hätt ich ihn nicht wiedererkannt.;137141;Krippenstapel
Also suchen Sie nach irgendwas der Art, nach einer alten Zieten- oder Blücheranekdote, kann meinetwegen auch Wrangel sein – ich bin dankbar für alles.;691981;Blücher
Also suchen Sie nach irgendwas der Art, nach einer alten Zieten- oder Blücheranekdote, kann meinetwegen auch Wrangel sein – ich bin dankbar für alles.;691981;Wrangel
Also suchen Sie nach irgendwas der Art, nach einer alten Zieten- oder Blücheranekdote, kann meinetwegen auch Wrangel sein – ich bin dankbar für alles.;691981;Zieten
Du hast bei den Kürassieren gestanden und mußt doch wissen, daß Torgelow und Katzenstein (was keinen Unterschied macht) uns nicht erschüttern werden, uns nicht und unsern Glauben nicht und Stechlin nicht und Wutz nicht.;718713;Katzenstein
Du hast bei den Kürassieren gestanden und mußt doch wissen, daß Torgelow und Katzenstein (was keinen Unterschied macht) uns nicht erschüttern werden, uns nicht und unsern Glauben nicht und Stechlin nicht und Wutz nicht.;718713;Torgelow
Tizian entzückte noch mit hundert Jahren;483847;Tizian
Ja. Der Name frappiert Sie. Das ist nämlich unser Lehrer hier, Liebling des alten Herrn und sein Berater in derlei Dingen. Der hat ihm denn auch das gegenwärtige ›Museum‹, das man als Abschlagszahlung auf die ›historischen Türen‹ ansehen kann, zusammengestellt. Außer dem angezweifelten Fenster werden Frau Gräfin noch ein paar phantastische Regentraufen finden und vor allem viele Wetterhähne, die von alten märkischen Kirchtürmen herabgenommen wurden. Einige sollen ganz interessant sein. Ich habe keinen Sinn dafür. Aber Krippenstapel hat einen Katalog angefertigt.;557907;Krippenstapel
... In dieser wurd er freigesprochen und im Triumph nach Hause getragen.;697849;Leutnant Greeley
Und wißt ihr, Kinder, das mit dem Museum gibt mir erst eine richtige Vorstellung von dem Alten und eine volle Befriedigung, beinah mehr noch, als daß ihm Melusine gefallen hat. Ich bin sonst nicht für Sammler. Aber wer Wetterfahnen sammelt, das will doch was sagen, das ist nicht bloß eine gute Seele, sondern auch eine kluge Seele, denn es is da so was drin wie ein Fingerknips gegen die Gesellschaft. Und wer den machen kann, das ist mein Mann, mit dem kann ich leben.;584100;Dubslav
Die Frau Gemahlin von unserm Herrn Oberförster...;663649;E. Katzler
Aber ich denke, er ist Ministerialassessor.;194098;Rex
Er wollte da neulich in Berlin reden und hat auch wirklich was zu Graf Posadowsky gesagt. Und das is so dumm gewesen, daß es die andern geniert hat.;739677;Graf Posadowsky
Jott, jnädiger Herr, wenn Se doabi sinn, denn wird he joa woll nich.;457039;Förster
Die Gräfin – wenn sich's um die handelte, da könnt ich's vielleicht auch. Aber die Comtesse, die hat so was Ernstes. Und dann ist sie zum übrigen auch noch meine Schwiegertochter oder soll es wenigstens werden, und da muß ich doch sprechen wie 'ne Respektsperson. Und das ist schwer, vielleicht, weil sich in meiner Vorstellung die Gräfin immer vor die Comtesse schiebt.;568084;Armgard
Die Gräfin – wenn sich's um die handelte, da könnt ich's vielleicht auch. Aber die Comtesse, die hat so was Ernstes. Und dann ist sie zum übrigen auch noch meine Schwiegertochter oder soll es wenigstens werden, und da muß ich doch sprechen wie 'ne Respektsperson. Und das ist schwer, vielleicht, weil sich in meiner Vorstellung die Gräfin immer vor die Comtesse schiebt.;568084;Melusine
"Nein, ihr Herren. Wollte
nicht
zurück. Denn es war eine sehr feine Dame, die gelitten hatte...";400083;Prinzessin von Siam
Und dann ist die Gräfin eine Gräfin, ja, sogar eine Doppelgräfin, erst durch Geburt und dann durch Heirat noch mal. Und dazu diese verteufelt vornehmen Namen: Barby, Ghiberti. Was soll da Czako? Teuerster Rex, man muß den Mut haben, den Tatsachen ins Auge zu sehn. Ich mache mir kein Hehl draus, Czako hat was merkwürdig Kommißmäßiges, etwa wie Landwehrmann Schultze. Kennen Sie das reizende Ballett ›Uckermärker und Picarde‹? Da haben Sie die ganze Geschichte. Melusine ist die reine Picarde.;777227;Melusine
Können Sie sich denken, daß Wrschowitz aus einer Art Verzweiflung Doktor geworden ist?;249778;Wrschowitz
Aber das Geld. Da war, noch unter Friedrich Wilhelm III., der alte General von der Marwitz auf Friedersdorf, von dem Sie gewiß mal gehört haben, der hat in seinen Memoiren irgendwo gesagt: ›er hätte sich aus dem Dienst gern schon früher zurückgezogen und sei bloß geblieben um des Schlechtesten willen, was es überhaupt gäbe, um des Geldes willen‹ – und das hat damals, als ich es las, einen großen Eindruck auf mich gemacht.;359823;General von der Marwitz
Ich meinerseits mache aber nur die erste Hälfte mit. Wenn wir in der Kirche fertig sind, muß ich zu Lorenzen.;102875;Lorenzen
"Nein, bei Hofrats war es
nicht
so. Die wohnten ja auch in einem ganz neuen Hause. Hofrats waren Trockenwohner. ";293324;Hofrat
"Nein, bei Hofrats war es
nicht
so. Die wohnten ja auch in einem ganz neuen Hause. Hofrats waren Trockenwohner. ";293324;Hofrätin
Erzählen Sie mir lieber was von der Frau von Gundermann. Debattieren kann ich nicht mehr, aber wenn Sie plaudern, brauch ich bloß zuzuhören. Sie haben ihr ja bei Tisch 'nen langen Vortrag gehalten;87049;Frau Gundermann
"soviel wird jedem einleuchten, um den Teufel auszutreiben (als den ich diesen Nachbarfürsten und seine Tat durchaus ansehe), dazu mußte was Besonderes geschehn, etwas Beelzebubartiges. Und das war eben das Blut dieser drei Büffel. Ich find es
nicht
zuviel.";402354;Nachbarfürst von Siam
Lorenzen wird es hoffentlich nicht übelnehmen, daß ich Sie, wenn ich mich Ihren ›Patron‹ nenne, so gleichsam avancieren lasse.;730058;Lorenzen
Ja;574551;Armgard
jetzt sind sie nun wohl schon in Woltersdorf.«;574567;Armgard
Ja;574551;Melusine
jetzt sind sie nun wohl schon in Woltersdorf.«;574567;Melusine
Ja;574551;Woldemar
jetzt sind sie nun wohl schon in Woltersdorf.«;574567;Woldemar
Die Buschen hilft nicht mehr;737995;Buschen
Wichtiger sind doch zuletzt immer die Damen, die Gräfin und die Comtesse. Welche wird es? Ich glaube, wir haben schon mal darüber gesprochen, damals, als wir von Kloster Wutz her über den Cremmer Damm ritten. Viel Vertrauen zu Freund Woldemars richtigem Frauenverständnis hab ich eigentlich nicht, aber ich sage trotzdem: Melusine.;417071;Armgard
Wichtiger sind doch zuletzt immer die Damen, die Gräfin und die Comtesse. Welche wird es? Ich glaube, wir haben schon mal darüber gesprochen, damals, als wir von Kloster Wutz her über den Cremmer Damm ritten. Viel Vertrauen zu Freund Woldemars richtigem Frauenverständnis hab ich eigentlich nicht, aber ich sage trotzdem: Melusine.;417071;Melusine
Der hat, wie Sie wissen, 'ne reiche Partie gemacht, und wer viel erheiratet, der braucht auch viel.;640802;Armgard
von Ihrem Papa;266083;Dubslav
Also sprich mal mit Kluckhuhn, der soll 'nen Boten schicken. ;506371;Kluckhuhn
Ich habe während meiner Londoner Tage das Bild von Horace Vernet gesehn, das den Moment darstellt, wo die schöne Col de Cygne zwischen den Toten umherirrt. Und ich erinnre mich auch, daß zwei Mönche neben ihr herschritten. Aber weiter weiß ich nichts. Und am wenigsten weiß ich, was daraus wurde.;489372;Editha Schwanenhals
"Aber das geht nicht; dann gelt ich am Ende gleich für eingeschworen, und Uncke notiert mich. Wer dreimal Kiebitzeier schickt, kommt ins schwarze Buch. Und das kann ich schon Woldemars wegen nicht.";704388;Woldemar
Nicht für den Umsturz, Herr Major. Isidor, wenn ich so sagen darf, ist für die alte Valuta. Aber nebenher hat er ein Herz für die Menschheit.;640163;Isidor
Und Ihren guten Glauben in Ehren, aber Sie werden diesen Gundermann doch nicht über den Lorenzen stellen und ihn überhaupt nur ernsthaft nehmen wollen. Und wie dieser Wassermüller aus der Brettschneidebranche, so sind die meisten. Phrase, Phrase. Mitunter auch Geschäft oder noch Schlimmeres.;86525;Herr Gundermann
Die Lind war, glaub ich, seine erste Liebe. Sehr wahrscheinlich auch seine letzte. Lorenzen saß damals noch auf der Schulbank und schlug sich mit Stundengeben durch. Aber er hörte die Diva trotzdem jeden Abend und wußte sich auch, trotz bescheidenster Mittel, das Bildchen zu verschaffen. Fast grenzt es ans Wunderbare. Freilich verlaufen die Dinge meist so. Wär er reich gewesen, so hätt er sein Geld anderweitig vertan und die Lind vielleicht nie gehört und gesehen.;303157;Lorenzen
"Und diesmal nun auch unser Stechlin dabei.
Was wird er sagen, wenn er oben in Ostpreußen von der ihm zugedachten Ehre hört. Er wird vielleicht sehr gemischte Gefühle haben. Übermorgen ist er von Trakehnen wieder da, mutmaßlich bei dem scheußlichen Wetter schlecht ajustiert, und dann Hals über Kopf und in großem Trara nach London. Und London ginge noch. Aber auch nach Windsor. Alles, wenn es sich um Chic handelt, will doch seine Zeit haben, und gerade die Vettern drüben sehen einem sehr auf die Finger.";419072;Woldemar
