text;id;Sprecher
Wer Melusine heißt, sollte wissen, was Namen bedeuten.;278345;Woldemar
Meine Herren, ich meinerseits schlage vor, daß wir unsern Auslug von dem Wackelstege, drauf wir hier stehen (jeden Augenblick kann einer von uns ins Wasser fallen), endlich aufgeben und uns lieber in einem der hier herumliegenden Kähne über den See setzen lassen. Unterwegs, wenn noch welche da sind, können wir Teichrosen pflücken und drüben am andern Ufer den großen Prinz-Heinrich-Obelisken mit seinen französischen Inschriften durchstudieren. Solche Rekapitulation stärkt einen immer historisch und patriotisch, und unser Etappenfranzösisch kommt auch wieder zu Kräften.;377478;Dubslav
Hm, es läßt sich hören. Und wenn so, so wär es schließlich ein Glück, daß es nach den neunundneunzig Tagen anders kam und wir nicht vor diese Frage gestellt wurden.;623674;Graf Barby
Gehst du darin nicht zu weit, liebe Tante?;159493;Woldemar
Und glaubst du nicht auch (denn warum käme er sonst so oft), daß er was vorhat?;223272;Graf Barby
"Wir bleiben noch, Brose; morgen wird es Lauferei genug geben.";337929;Uncke
Jawohl, Herr Graff, eine schlechte Zeit. Und warr mir immerdarr eine besondere Lust zu sehen, wie das Sentimentalle wieder fällt. Immer merr, immer merr, Ich hasse das Sentimentalle de tout mon cœur.;255302;Wrschowitz
Ich möchte wohl noch einen Spaziergang machen;413306;Czako
Was meinen Sie, Rex? Sind Sie mit dabei? Wir gehen hier am Ufer entlang, an den Zelten vorüber bis Bellevue, und da steigen wir in die Stadtbahn und fahren zurück, Sie bis an die Friedrichsstraße, ich bis an den Alexanderplatz. Da ist jeder von uns in drei Minuten zu Haus.;413368;Czako
Ich weiß nicht recht, Frau Gräfin, er scheint mir nicht modern genug. Der, den Comtesse Armgard eben aufsetzt, der würde wohl auch für Frau Gräfin besser passen – die hohen Straußfedern, wie ein Ritterhelm, und auch die Hutform selbst. Hier ist noch einer, fast ebenso und beinah noch hübscher.;217692;Lizzi
So wird es Woldemar auch machen. Wenigstens wird ihn die Lust sehr bald anwandeln, so halb und halb ins Alte wieder einzulenken.;750492;Lorenzen
Geht nicht. Berührt is berührt.;400363;v. Molchow
Brav, brav. Das gefällt mir. So ist es. Wir sind immer von neidischen und boshaften Wesen mit Fuchsschwänzen und Fledermausflügeln umstellt, und wenn wir renommieren oder sicher tun, dann lachen sie. Und wenn sie erst lachen, dann sind wir schon so gut wie verloren. Mit unsrer eignen Kraft ist nichts getan, ich habe nicht den Grashalm sicher, den ich hier ausreiße. Demut, Demut... Aber trotzdem komm ich dir mit der naiven Frage (denn man widerspricht sich in einem fort), ist es was Vornehmes, was Pikfeines?;94502;Dubslav
Ein See. Das besagt nicht viel. Seen, wenn es nicht grade der Vierwaldstätter ist, werden immer erst interessant durch ihre Fische, durch Sterlet oder Felchen. Ich will nicht weiter aufzählen. Aber was hat der Stechlin? Ich vermute, Steckerlinge.;266982;Melusine
Tag, Dubslav. Ich muß doch mal sehn. Unser Rentmeister Fix ist vorgestern hier in Stechlin gewesen und hat dabei von deinem letzten Unwohlsein gehört. Und daher weiß ich es. Eh du persönlich deine Schwester so was wissen läßt oder einen Boten schickst...;702008;Adelheid
Gewiß;43584;Frau Gundermann
Phosphor war ja auch schon, eh die Schwedischen aufkamen.;43686;Frau Gundermann
Sehr wahr;25202;Dubslav
"Der Konservatismus soll übrigens, seinem Wesen nach, eine Bremse sein; damit muß man vieles entschuldigen. Aber da kommen Ihre Mantelsäcke, meine Herren.";25231;Dubslav
Wir haben jetzt sechseinviertel. Um sieben, wenn ich bitten darf.;25427;Dubslav
Meine Herren. Als ich vor soundso viel Jahren in Berlin studierte;388279;Herr Gundermann
als ich vor Jahren in Berlin studierte, war da mal 'ne Hinrichtung...;388358;Herr Gundermann
...war da mal 'ne Hinrichtung, weil eine dicke Klempnermadam, nachdem sie sich in ihren Lehrburschen verliebt, ihren Mann, einen würdigen Klempnermeister, vergiftet hatte. Und der Bengel war erst siebzehn. Ja, meine Herren, soviel muß ich sagen, es kamen damals auch schon dolle Geschichten vor. Und ich, weil ich den Gefängnisdirektor kannte, ich hatte Zutritt zu der Hinrichtung, und um mich rum standen lauter Assessoren und Referendare, ganz junge Herren, die meisten mit 'nem Kneifer. Kneifer gab es damals auch schon. Und nun kam die Witwe, wenn man sie so nennen darf, und sah soweit ganz behäbig und beinahe füllig aus, weil sie, was damals viel besprochen wurde, 'nen Kropf hatte, weshalb auch der Block ganz besonders hatte hergerichtet werden müssen. Sozusagen mit 'nem Ausschnitt.;388464;Herr Gundermann
Und als sie nun, ich meine die Delinquentin, all die jungen Referendare sah, wobei ihr wohl ihr Lehrling einfallen mochte...;389303;Herr Gundermann
"... Wobei ihr vielleicht ihr Lehrling einfallen mochte, da trat sie ganz nahe an den Schafottrand heran und nickte uns zu (ich sage ›uns‹, weil sie mich auch ansah) und sagte: ›Ja, ja, meine jungen Herrens,
dat kommt davon
...‹ Und sehen Sie, meine Herren,
dieses
Wort, wenn auch von einer Delinquentin herrührend, bin ich seitdem nicht wieder losgeworden, und wenn ich so was erlebe wie heute, dann muß einem solch Wort auch immer wieder in Erinnerung kommen, und ich sage dann auch, ganz wie die Alte damals sagte: ›Ja, meine Herren, dat kommt davon.‹ Und wovon kommt es? Von den Sozialdemokraten. Und wovon kommen die Sozialdemokraten?";389472;Herr Gundermann
"Es gibt da nichts Neues. Ich kann nur bestätigen, vom Fortschritt kommt es. Und wovon kommt
der
? Davon, daß wir die Abstimmungsmaschine haben und das große Haus mit den vier Ecktürmen. Und wenn es meinetwegen ohne das große Haus nicht geht, weil das Geld für den Staat am Ende bewilligt werden muß – und ohne Geld, meine Herren, geht es nicht";390172;Herr Gundermann
"nun denn, wenn es also sein muß, was ich zugebe, was sollen wir, auch unter derlei gern gemachten Zugeständnissen, anfangen mit einem Wahlrecht, wo Herr von Stechlin gewählt werden soll und wo sein Kutscher Martin, der ihn zur Wahl gefahren, tatsächlich gewählt wird oder wenigstens gewählt werden kann. Und der Kutscher Martin unsers Herrn von Stechlin ist mir immer noch lieber als dieser Torgelow. Und all das nennt sich Freiheit. Ich nenn es Unsinn, und viele tun desgleichen. Ich denke mir aber, gerade
diese
Wahl, in einem Kreise, drin das alte Preußen noch lebt, gerade diese Wahl wird dazu beitragen, die Augen oben helle zu machen. Ich sage nicht, welche Augen.";390574;Herr Gundermann
"Ich komme zum Schluß. Es hieß Anno siebzig, daß sich die Franzosen als die ›glorreich Besiegten‹ bezeichnet hätten. Ein stolzes und nachahmenswertes Wort. Auch für uns, meine Herren. Und wie wir, ohne uns was zu vergeben, diesen Sekt aus Frankreich nehmen, so dürfen wir, glaub ich, auch das eben zitierte stolze Klagewort aus Frankreich herübernehmen. Wir sind besiegt, aber wir sind glorreich Besiegte. Wir haben eine Revanche.
Die
nehmen wir. Und bis dahin in alle Wege: Herr von Stechlin auf Schloß Stechlin, er lebe hoch!";391265;Herr Gundermann
Wir haben da beispielsweise den Melbye, Däne pur sang, der sehr gut und beinah bedeutend ist.;612970;Cujacius
Das nehm ich Ihnen übel, daß Sie darüber spotten. Und Armgard wird es noch mehr tun, weil sie gefühlvoller ist als ich. Zudem sollten Sie wissen, daß sich so was rächt.;277652;Melusine
Dann bitte ich um Goldwasser. Es ist doch schärfer, und dann bekenne ich Ihnen offen, Herr Major... Sie kennen ja unsre Verhältnisse, so 'n bißchen Gold heimelt einen immer an. Man hat keins und dabei doch zugleich die Vorstellung, daß man es trinken kann – es hat eigentlich was Großartiges.;72730;Czako
Ich weiß nicht, Herr von Stechlin. Echtes Heldentum oder, um's noch einmal einzuschränken, ein solches, das mich persönlich hinreißen soll, steht immer im Dienst einer Eigenidee, eines allereigensten Entschlusses. Auch dann noch (ja mitunter dann erst recht), wenn dieser Entschluß schon das Verbrechen streift. Oder, was fast noch schlimmer, das Häßliche. Kennen Sie den Cooperschen ›Spy‹? Da haben Sie den Spion als Helden. Mit andern Worten, ein Niedrigstes als Höchstes. Die Gesinnung entscheidet. Das steht mir fest. Aber es gibt der Beispiele noch andere, noch bessere!;694692;Lorenzen
Hihi.;169753;Schmargendorf
Wo hast du nur die Kiebitzeier her?;703979;Adelheid
Das ist was Neues. Als ich noch hier lebte, hatten wir keine.;704028;Adelheid
Ich bin beglückt, Doktor Wrschowitz, speziell aus Ihrem Munde soviel Gutes über unsre Stadt zu hören. Im allgemeinen ist die slawische, besonders die tschechische Welt...;467875;Czako
Also da war ein König von Siam, und dieser König hatte eine Tochter.;399294;Thormeyer
 Hihi.;179129;Schmargendorf
Überdies;669361;Dubslav
was sind die richtigen Worte? Wo sind sie?;669413;Dubslav
Nun, wenn es denn durchaus sein muß, Sie, gnädigste Frau.;220375;Woldemar
Welch ein Mann, Ihr Pastor Lorenzen;772717;Melusine
Und zum Glück auch noch unverheiratet.;772772;Melusine
Engelke;684099;Dubslav
du wirst mir zu klug. Natürlich is er von der Gräfin. Hier is ja die Krone.;684125;Dubslav
Bewahre. Meine Weltfahrten, mit ganz schwachen Ausnahmen, lagen immer nur zwischen Berlin und Stechlin. Höchstens mal Dresden und ein bißchen ins Bayrische. Wenn man so gar nicht mehr weiß, wo man hin soll, fährt man natürlich nach Dresden. Also Via Mala nie gesehen. Aber ein Bild davon. Im allgemeinen ist Bilderankucken auch nicht gerade mein Fall, und wenn die Museums von mir leben sollten, dann täten sie mir leid. Indessen wie so der Zufall spielt, mal sieht man doch so was, und war da auf dem Via-Mala-Bilde 'ne Felsenschlucht mit Figuren von einem sehr berühmten Malermenschen, der, glaub ich, Böcking oder Böckling hieß.;648256;Dubslav
Agnes;713759;Dubslav
"du könntest mal zu Mamsell Pritzbur in die Küche gehn und ihr sagen, ich möchte heute mittag 'ne gefüllte Taube haben. Aber nich so mager und auch nich so wenig Füllung, und daß es nich nach alter Semmel schmeckt. Und dann kannst du gleich bei der Mamsell unten bleiben und dir 'ne Geschichte von ihr erzählen lassen, vom ›Schäfer und der Prinzessin‹ oder vom ›Fischer un sine Fru‹; ›Rotkäppchen‹ wirst du wohl schon kennen.";713788;Dubslav
Und dann, Engelke, macht es doch auch einen Unterschied, von wem eine Sache kommt. Die Katzenpfötchen kommen von der Buschen, und die Wabe kommt von Krippenstapel. Das heißt also, hinter der Wabe steht ein guter Geist, und hinter den Katzenpfötchen steht ein böser Geist. Und das kannst du mir glauben, an solchen Rätselhaftigkeiten liegt sehr viel im Leben, und wenn mir Lorenzen seine Patsche gibt, so ist das ganz was anders, wie wenn mir Koseleger seine Hand gibt. Koseleger hat solche weichen Finger und auf dem vierten einen großen Ring.;734914;Dubslav
Nichts Antimonarchisches;440695;Graf Barby
Und so kommen Susans Untaten schließlich noch ans Licht.;440745;Graf Barby
Ja, lange Beine haben sie. Aber sie tun einem nichts. Und eigentlich sind es sehr ängstliche Tiere und verkriechen sich, wenn sie hören, daß aufgeschlossen wird, und bloß wenn Krippenstapel kommt, dann kommen sie alle raus un kucken sich um. Krippenstapeln, den kennen sie ganz gut, und ich hab auch mal gesehn, daß er ihnen Fliegen mitbringt, und machen sich dann gleich drüber her.;559643;Engelke
Er wird wohl in vielen Häusern verkehren.;206642;Czako
Ach, gnäd'ger Herr, dat wihrd joa woll nich.;407204;Tuxen
"Gott, Schickedanz, sprich nicht soviel; es strengt dich an. Ich will es ja alles heilighalten, schon aus Liebe...";234997;Frau Schickedanz
"Ich darf sagen ›ja‹, Herr von Stechlin. Habe so was mit ihm erlebt. Eine ganz kleine Geschichte; aber das sind gerade die besten. Da hatten wir mal einen schweren Regentag in Gastein, so daß der alte Herr nicht ins Freie kam und, statt draußen in den Bergen, in seinem großen Wohnzimmer seinen gewohnten Spaziergang machen mußte, so gut es eben ging. Unter ihm aber (was er wußte) lag ein Schwerkranker. Und nun denken Sie sich, als ich bei dem guten alten Kaiser eintrete, seh ich ihn, wie er da lange Läufer und Teppiche zusammenschleppt und übereinanderpackt, und als er mein Erstaunen sieht, sagt er mit einem unbeschreiblichen und mir unvergeßlichen Lächeln: ›Ja, lieber Frommel, da unter mir liegt ein Kranker; ich mag nicht, daß er die Empfindung hat, ich trample ihm da so über den Kopf hin...‹ Sehn Sie, Herr von Stechlin, da haben Sie den alten Kaiser.";595450;Frommel
Stechlin ist auch eine sittliche Natur. Sittlichkeit ist ihm angeboren, und was er von Natur mitbrachte, das hat sein Regiment weiter in ihm ausgebildet.;141029;Rex
Ja;126660;Rex
"das tut unser Freund Czako nicht anders; dreiviertel ist immer Dichtung.";126721;Rex
Das ist fatal. Aber es steigert andrerseits doch auch wieder den Reiz. Sonderbar, gefahrlose Berufe, solche, die sozusagen eine Zipfelmütze tragen, sind mir von jeher ein Greuel gewesen. Interesse hat doch immer nur das Vabanque: Torpedoboote, Tunnel unter dem Meere, Luftballons. Ich denke mir, das Nächste, was wir erleben, sind Luftschifferschlachten. Wenn dann so eine Gondel die andre entert. Ich kann mich in solche Vorstellungen geradezu verlieben.;308886;Melusine
Ich glaub es.;623658;Dubslav
"Nein, Herr Hofprediger. So bei Kindern wohnen ist immer mißlich. Und mein Sohn weiß das auch; er kennt den Geschmack oder meinetwegen auch bloß die Schrullenhaftigkeit seines Vaters, und so hat er mich, was immer das Beste bleibt, in einem Hotel untergebracht.";592545;Dubslav
Nun, nimm es nicht übel;103968;Dubslav
Du sprichst ja, wie wenn du selber einer wärst. Im übrigen räum ich dir ein, daß ich kein rechtes Urteil über derlei Dinge habe. Bei den Kürassieren war keiner, und ich habe überhaupt nur einmal einen gesehen, mit einem kleinen Verdruß und einer Goldbrille, die er beständig abnahm und putzte. Natürlich bloß ein Männchen, klein und eitel. Aber sehr elegant.;104011;Dubslav
Ja, man kann es beinah sagen. Ich für meine Person komme schließlich drüber hin, aber ein Mann wie Sie, Rex, sollte dergleichen mehr wallfahrtartig auffassen.;199701;Czako
... Solche Mission ist gerade das, was ich mir all mein Lebtag gewünscht habe. Bloß ›Erhörung kam nicht geschritten‹. Und doch ist gerad in unserm Regiment immer was los. Immer ist wer auf dem Wege nach Petersburg. Aber weiß der Teufel, trotz der vielen Schickerei, meine Wenigkeit ist noch nicht rangekommen. Ich denke mir, es liegt an meinem Namen. Hier hat ›Czako‹ ja auch schon einen Beigeschmack, einen Stich ins Komische, aber das Slawische drin gibt ihm in Berlin etwas Apartes, während es in Petersburg wahrscheinlich heißen würde: ›Czako, was soll das? Was soll Czako? Dergleichen haben wir hier echter und besser.‹ Ja, ich gehe noch weiter und bin nicht einmal sicher, ob man da drüben nicht Lust bezeugen könnte, in der Wahl von ›Czako‹ einen Witz oder versteckten Affront zu wittern. Aber wie dem auch sei, Winterpalais und Kreml sind mir verschlossen. Und nun gehen Sie nach London und sogar nach Windsor. Und Windsor ist doch nun mal das denkbar Feinste. Rußland, wenn Sie mir solche Frühstücksvergleiche gestatten wollen, hat immer was von Astrachan, England immer was von Colchester. Und ich glaube, Colchester steht höher. In meinen Augen gewiß. Ach, Stechlin, Sie sind ein Glückspilz, ein Wort, das Sie meiner erregten Stimmung zugute halten müssen. Ich werde wohl an der Majorsecke scheitern, wegen verschiedener Mankos. Aber sehn Sie, daß ich das einsehe, das könnte das Schicksal doch auch wieder mit mir versöhnen.;427721;Czako
Gut. Leuchtet mir ein. ›Et muß rut‹, sagt Ihr. Und das sag ich auch. Aber womit wollt Ihr's ›rut‹bringen? Das is die Sache. Welche Mittel, welche Wege?;681227;Dubslav
"Nun aber, mein lieber Stechlin, wollen wir endlich einen kleinen Schwatz haben und uns näher miteinander bekannt machen. Ihr Zug geht erst zehneinhalb; wir haben also noch beinah anderthalb Stunden.";616038;Graf Barby
Aber Wrschowitz, es müssen doch schließlich Ähnlichkeiten dasein. Eine Madamm ist doch immerhin auch eine Dame, wenigstens eine Art Dame. Schon das Wort spricht es aus.;471238;Melusine
Nein, nein, Woldemar, nicht das, nicht das. Erzählen sollst du mir recht, recht viel. Und ich habe sogar Fragen auf dem Herzen. Du weißt wohl schon, welche. Aber nur nicht beichten. Schon das Wort macht mir jedesmal ein Unbehagen. Es hat solch ausgesprochen katholischen Beigeschmack. Unser Rentmeister Fix hat recht, wenn er sagt: ›Beichte sei nichts, weil immer unaufrichtig, und es habe in Berlin – aber das sei nun freilich schon sehr, sehr lange her – einen Geistlichen gegeben, der habe den Beichtstuhl einen Satansstuhl genannt.‹ Das find ich nun offenbar übertrieben und habe mich auch in diesem Sinne zu Fix geäußert. Aber andrerseits freue ich mich doch immer aufrichtig, einem so mutig protestantischen Worte zu begegnen. Mut ist, was uns not tut. Ein fester Protestant, selbst wenn er schroff auftritt, ist mir jedesmal eine Herzstärkung, und ich darf ein gleiches Empfinden auch wohl bei Ihnen, Herr von Rex, voraussetzen.;158069;Adelheid
Und ich will auch, selbst auf die Gefahr hin einer Niederlage.;436665;Armgard
Nun gut, nun gut. Ich sehe wohl ein, daß das nicht gut geht. Aber was anders! Ich habe da vorhin eine Bibel oder vielleicht auch bloß ein Gesangbuch liegen sehn, da auf dem Brettchen, wo die kleine Puppe steht. Beiläufig auch was Sonderbares, diese Puppe. Bitte, nimm die Bibel von der Etagere fort und lege sie mir hier auf den Nachttisch. Und das Licht laß brennen. Und wenn du im Bett liegst, sprich immerzu, bis ich einschlafe.;526261;Melusine
Ehe man nämlich ganz Abschied von dem alten Leben nimmt, sehnt man sich noch einmal gründlich danach zurück. Freilich, Schwester Armgard wird weniger davon empfinden als andere. Sie hat eben den liebenswürdigsten und besten Mann, und ich könnt ihn ihr beinah beneiden, trotzdem ich noch im Abschiedsmoment einen wahren Schreck kriegte, als ich ihn sagen hörte, daß er morgen vormittag mit ihr vor die Sixtinische Madonna treten wolle. Worte, bei denen er noch dazu wie verklärt aussah. Und das find ich einfach unerhört. Warum, werden Sie mich vielleicht fragen. Nun denn, weil es erstens eine Beleidigung ist, sich auf eine Madonna so extrem zu freuen, wenn man eine Braut oder gar eine junge Frau zur Seite hat, und zweitens, weil dieser geplante Galeriebesuch einen Mangel an Disposition und Ökonomie bedeutet, der mich für Woldemars ganze Zukunft besorgt machen kann. Diese Zukunft liegt doch am Ende nach der agrarischen Seite hin, und richtige ›Dispositionen‹ bedeuten in der Landwirtschaft so gut wie alles.;626625;Melusine
Lieber Stechlin;168913;Czako
"ich beschwöre Sie um sechsundsechzig Schock sächsische Schuhzwecken, kommen Sie doch nicht mit solchen Kleinigkeiten, die man jetzt, glaub ich, Velleitäten nennt. Wenigstens habe ich das Wort immer so übersetzt.
Czako, Baczko, Baczko, Czako – wie kann man davon soviel Aufhebens machen. Name, wie Sie wissen, ist Schall und Rauch, siehe Goethe, und Sie werden sich doch nicht in Widerspruch mit
dem
bringen wollen. Dazu reicht es denn doch am Ende nicht aus.";168943;Czako
Ich kann das zugeben. Wie könnte sonst die Welt bestehen? Es gibt nichts, was uns so Demut predigte wie die Wahrnehmung von der Entbehrlichkeit des einzelnen. Aber darauf kommt es nicht an. Worauf es ankommt, das ist Erfüllung unsrer Pflicht.;354729;E. Katzler
Du hoffentlich auch.;575428;Dubslav
Siehst du! Du bist eben ein vernünftiger Mensch, das merkt man gleich, und hast auch ein Einsehn davon, daß es eigentlich am besten wäre, wenn ich zu der Buschen schicke. Was die Leute von ihr reden, geht mich nichts an. Und dann bin ich auch kein Mächen. Und Uncke wird mich ja wohl nicht aufschreiben.;678765;Dubslav
"Weiß der Himmel, dieser Gundermann ist und bleibt ein Esel. Was sollen wir mit solchen Leuten? Erst beschreibt er uns die Frau mit 'nem Kropf, und dann will er das große Haus abschaffen. Ungeheure Dämelei. Wenn wir das große Haus nicht mehr haben, haben wir gar nichts; das ist noch unsre Rettung und die beinah einzige Stelle, wo wir den Mund (ich sage Mund) einigermaßen auftun und was durchsetzen können. Wir müssen mit dem Zentrum paktieren. Dann sind wir egal raus. Und nun kommt dieser Gundermann und will uns auch das noch nehmen. Es ist doch 'ne Wahrheit, daß sich die Parteien und die Stände jedesmal selbst ruinieren. Das heißt, von ›Ständen‹ kann hier eigentlich nicht die Rede sein; denn dieser Gundermann gehört nicht mit dazu. Seine Mutter war 'ne Hebamme in Wriezen. Drum drängt er sich auch immer vor.";391966;v. Molchow
"Ja, Rex; natürlich. Das hab ich auch gleich bemerkt, ohne mir weiter Rechenschaft darüber zu gehen. Du wirst es aber wissen, wodurch er ihm überlegen ist.";193832;Adelheid
"Und ich freue mich, daß Sie das herausgefühlt haben. Es ist so. Wir kommen da eben von Ihrem Stechlin her, von Ihrem See, dem Besten, was Sie hier haben. Ich habe mich dagegen gewehrt, als das Eis aufgeschlagen werden sollte, denn alles Eingreifen oder auch nur Einblicken in das, was sich verbirgt, erschreckt mich. Ich respektiere das Gegebene. Daneben aber freilich auch das Werdende, denn eben dies Werdende wird über kurz oder lang abermals ein Gegebenes sein. Alles Alte, soweit es Anspruch darauf hat, sollen wir lieben, aber für das Neue sollen wir recht eigentlich leben. Und vor allem sollen wir, wie der Stechlin uns lehrt, den großen Zusammenhang der Dinge nie vergessen. Sich abschließen heißt sich einmauern, und sich einmauern ist Tod. Es kommt darauf an, daß wir gerade
das
beständig gegenwärtig haben. Mein Vertrauen zu meinem Schwager ist unbegrenzt. Er hat einen edeln Charakter, aber ich weiß nicht, ob er auch einen festen Charakter hat. Er ist feinen Sinnes, und wer fein ist, ist oft bestimmbar. Er ist auch nicht geistig bedeutend genug, um sich gegen abweichende Meinungen, gegen Irrtümer und Standesvorurteile wehren zu können. Er bedarf der Stütze. Diese Stütze sind Sie meinem Schwager Woldemar von Jugend auf gewesen. Und um was ich jetzt bitte, das heißt: ›Seien Sie's ferner.‹";547663;Melusine
Und dieser englische Millais – den mit dem französischen verwechselt zu haben ich aufrichtig bedaure –, dieser ›ais‹-Millais, dieser große Reformer, ist, wenn ich Sie recht verstehe, sich selber untreu geworden.;480101;Woldemar
Ach was, Lorenzen, mit Ihnen ist nicht zu reden... Übrigens Prosit... wenn Sie's auch eigentlich nicht verdienen.;132046;Dubslav
Weil Rauchen männlich ist.;576299;Adelheid
Weil ich ein Bild von ihr kenne. Wir haben es, wie bekannt, seit einiger Zeit von einem unsrer besten Maler auf unsrer Nationalgalerie. Aber lange bevor ich es da sah, kannt ich es schon en miniature, und zwar aus einer im Besitz meines Freundes Lorenzen befindlichen Aquarelle. Diese Kopie hängt über seinem Sofa, dicht unter einer Rubensschen Kreuzabnahme. Wenn man will, eine etwas sonderbare Zusammenstellung.;302384;Woldemar
Und noch mehr die Barbys.;425123;v. Raspe
Doch, Rex, doch. Die Prinzessin selbst, und das ist das rührendste, hat sich darüber ganz unumwunden ausgesprochen. Und zwar zu meinem Alten. Sie sieht ihn öfter und möcht ihn, glaub ich, bekehren – sie ist nämlich von der strengen Richtung und hält sich auch zu Superintendent Koseleger, unserm Papst hier. Und kurz und gut, sie macht meinem Papa beinah den Hof und erklärt ihn für einen perfekten Kavalier, wobei Katzler immer ein etwas süßsaures Gesicht macht, aber natürlich nicht widerspricht.;144621;Woldemar
Toujours perdrix.‹ Das heißt, es sind eigentlich Krammetsvögel, wie schon gestern abend. Aber wer weiß, wie Krammetsvögel auf französisch heißen? Ich wenigstens weiß es nicht. Und ich glaube, nicht einmal Tucheband wird uns helfen können.;123074;Dubslav
Nein, nein, Herr Graf. Gott, man sagt so was bloß. Aber ein bißchen is es doch damit...;225375;Jeserich
Wovon niemand überzeugter ist als ich;365690;Dubslav
"Freilich bin ich bestochen, denn sie sagt mir immer das Schmeichelhafteste. Sie plaudre so gern mit mir, was auch am Ende wohl zutrifft. Und dabei wird sie dann jedesmal ganz ausgelassen, trotzdem sie eigentlich hochgradig sentimental ist. Sentimental, was nicht überraschen darf; denn aus Sentimentalität ist doch schließlich die ganze Katzlerei hervorgegangen. Bin übrigens ernstlich in Sorge, wo Hoheit den richtigen Taufnamen für das Jüngstgeborene hernehmen wird. In diesem Stücke, vielleicht dem einzigen, ist sie nämlich noch ganz und gar Prinzessin geblieben. Und Sie, lieber Lorenzen, werden dabei sicherlich mit zu Rate gezogen werden.";365746;Dubslav
Da fährt ja Katzler;364749;Dubslav
"Überrascht mich beinah. Es ist nämlich, was Sie vielleicht noch nicht wissen werden, wieder was einpassiert; er schickte mir heute früh einen Boten mit der Nachricht davon, und daraus schloß ich, er würde
nicht
zur Wahl kommen. Aber Ermyntrud mit ihrer grandiosen Pflichtvorstellung wird ihn wohl wieder fortgeschickt haben.";364787;Dubslav
Er wird wohl die Sache noch nicht recht weghaben. Ich meine das, was sie jetzt das Parlamentarische nennen. Das schadt aber nichts und ist eigentlich egal. Wichtiger is, wie sie hier in unserm Ruppiner Winkel, in unserm Rheinsberg-Wutz über ihn denken. Sind sie denn da mit ihm zufrieden?;534282;Dubslav
Es ist sehr selten, in nationalen Fragen einem so freien Drüberstehn zu begegnen... Aber wenn es Ihnen recht ist, Doktor Wrschowitz, wir stehen hier wie zwei Schildhalter neben diesem aufgeklappten Klavier – vielleicht daß wir uns setzen könnten. Gräfin Melusine lugt ohnehin schon nach uns aus.;468096;Czako
Freut mich, daß es noch hapert. Ich mag so was nicht. Der alte Wilhelm hat zwar seinem Volke die Religion wiedergeben wollen, was ein schönes Wort von ihm war – alles, was er tat und sagte, war gut –, aber Religion und Landpartie, dagegen bin ich doch. Ich bin überhaupt gegen alle falschen Mischungen. Auch bei den Menschen. Die reine Rasse, das ist das eigentlich Legitime. Das andre, was sie nebenher noch Legitimität nennen, das ist schon alles mehr künstlich. Sage, wie steht es denn eigentlich damit? Du weißt schon, was ich meine.;89220;Dubslav
